"forumUsername";"id";"user_id";"name";"external_link";"license"
"Majiir";3;3;"Kethane";"http://forum.kerbalspaceprogram.com/threads/23979-Kethane";"Mixed (see Github repository)"
"Greys";13;13;"Captain Sam's Locational Desafification Equipment";"http://forum.kerbalspaceprogram.com/threads/58160-Captain-Sam-s-%28etc%29-Weebles-Wobble-but-Your-Lander-Won-t-Fall-Down";"Included"
"Greys";13;13;"SrFix";"";"Included"
"DarthVader";34;34;"Antares Mod";"http://forum.kerbalspaceprogram.com/threads/82793-Antares-Cygnus-Mod-Update-1-1-%28fixes-addtions%29-June-20?p=1235668#post1235668";"Credited Redistribution "
"Snjo";48;48;"Firespitter";"http://forum.kerbalspaceprogram.com/showthread.php/24551-Firespitter";"Custom"
"frizzank";64;64;"FASA Asteroids";"http://forum.kerbalspaceprogram.com/threads/33713-Asteroids-2-4-%282-1-14%29?highlight=asteroids";"All Rights Reserved "
"frizzank";64;64;"FASA";"http://forum.kerbalspaceprogram.com/threads/24867-21-FASA-2-2-Wings!!!-Sept-4?highlight=fasa";"All Rights Reserved "
"frizzank";64;64;"FASA Launch Clamps and Towers";"http://forum.kerbalspaceprogram.com/threads/24867-21-FASA-2-2-Wings!!!-Sept-4?highlight=fasa";"All Rights Reserved "
"frizzank";64;64;"FASA Refinery";"http://forum.kerbalspaceprogram.com/threads/108483-FASA-Fuel-Refinery";"All rights reserved."
"Naten";151;151;"Tiny Cat Co. Plane Parts";"http://forum.kerbalspaceprogram.com/threads/86487-0-24-v0-1-0-17-Jul-Tiny-Cat-Co-Plane-Parts";"Specified in included ""Readme"""
"joed_";205;205;"Kerbal Crew Transfer";"http://forum.kerbalspaceprogram.com/threads/82101-0-24-Kerbal-Crew-Transfer-v0-5-released-0-24-support-and-Crew-Swapping";"ISC"
"DYJ";243;243;"Procedural Wings";"http://forum.kerbalspaceprogram.com/threads/29862-0-24-Procedural-Dynamics-Procedural-Wing-0-8";"See forum post."
"kujuman";247;247;"NavUtilites";"http://forum.kerbalspaceprogram.com/threads/85353";"All Rights Reserved"
"kujuman";247;247;"Advanced Solid Rocket Boosters";"http://forum.kerbalspaceprogram.com/threads/77563-Advanced-SRB-dev-test-version-6-1-released/page3";"All Rights Reserved"
"stupid_chris";308;308;"RealChute Parachute Systems";"http://forum.kerbalspaceprogram.com/threads/57988";"Restricted - see description"
"stupid_chris";308;308;"KSPX";"http://forum.kerbalspaceprogram.com/threads/107047";"ARR ClairaLyrae"
"Kommitz";716;716;"LV-*N - Nuclear Engine Clusters";"http://forum.kerbalspaceprogram.com/threads/110077-LV-2N-LV-4N-Nuclear-Engine-Clusters";"All Rights Reserved"
"Kommitz";716;716;"New! FTmN Atomic Rockets";"http://forum.kerbalspaceprogram.com/threads/26286-15-11-2014-0-25-FTmN-Atomic-Rockets";"All rights reserved."
"DasPenguin85";734;734;"BoxSat";"";"All Rights Reserved."
"TouhouTorpedo";1077;1077;"Modular MultiWheels";"";"re-distribution is not permitted without permission. Contact me if you wish to use any of the mod content in any derivative work"
"TouhouTorpedo";1077;1077;"TT SSP MK2 Nose";"";"Non-distribution unless permission granted"
"Orum";3353;3353;"SatBatts";"http://forum.kerbalspaceprogram.com/threads/66505";"My own (included in zip)"
"russnash37";5698;5698;"Kaboom!";"http://forum.kerbalspaceprogram.com/threads/105026-0-90-Kaboom!-v1-1-0-Another-way-to-not-go-to-space-today!";"Kaboom! is released under an open license, feel free to modify and re-release Kaboom! just be sure to link back to the original."
"legochamp75";8177;8177;"Old Career Start";"";"Custom (read license.txt)"
"JarDev";10353;10353;"Electric Thrust Engine (ETE)";"http://felicetti-a.eu/";"All right reserved."
"Kourou";11839;11839;"Air-Augmented Rockets";"http://forum.kerbalspaceprogram.com/threads/127009-Air-Augmented-Rockets";"See description"
